# NX=64, NY=64, MAX_ITER=100000 
Tempo di esecuzione= 0.429 
# NX=128, NY=128, MAX_ITER=100000 
Tempo di esecuzione= 0.497 
# NX=256, NY=256, MAX_ITER=100000 
Tempo di esecuzione= 0.588 
# NX=512, NY=512, MAX_ITER=100000 
Tempo di esecuzione= 1.206 
# NX=1024, NY=1024, MAX_ITER=100000 
Tempo di esecuzione= 5.199 
# NX=2048, NY=2048, MAX_ITER=100000 
Tempo di esecuzione= 18.350 
