1 500000000 3.1415926536 2.0872192863e-14 1.63759  1  wn25 
1 500000000 3.1415926536 2.3536728122e-14 0.82261  2  wn25 
1 500000000 3.1415926536 6.7945649107e-14 0.41748  4  wn25 
1 500000000 3.1415926536 1.7497114868e-13 0.27317  8  wn25 
