Thread,nx,ny,iter,T,Tp,Tnp
1,2048, 2048, 1000, 3.273, 3.238, 0.035 
2,2048, 2048, 1000, 1.488, 1.450, 0.038 
4,2048, 2048, 1000, 0.838, 0.805, 0.034 
8,2048, 2048, 1000, 0.448, 0.409, 0.039 
