Thread,nx,ny,iter,T,Tp,Tnp
1,2048, 2048, 1000, 4.236, 4.201, 0.035 
2,2048, 2048, 1000, 2.001, 1.963, 0.038 
4,2048, 2048, 1000, 1.088, 1.051, 0.037 
8,2048, 2048, 1000, 0.595, 0.561, 0.034 
