# NX=64, NY=64, MAX_ITER=100000 
Tempo di esecuzione= 0.430 
# NX=128, NY=128, MAX_ITER=100000 
Tempo di esecuzione= 0.484 
# NX=256, NY=256, MAX_ITER=100000 
Tempo di esecuzione= 0.584 
# NX=512, NY=512, MAX_ITER=100000 
Tempo di esecuzione= 1.189 
# NX=1024, NY=1024, MAX_ITER=100000 
Tempo di esecuzione= 5.178 
# NX=2048, NY=2048, MAX_ITER=100000 
Tempo di esecuzione= 18.345 
# NX=4096, NY=4096, MAX_ITER=100000 
Tempo di esecuzione= 69.935 
