function,iter,pi,error,time,hostname
2, 430000,  3.1415926548, 1.2215766176e-09, 0.00708,  ui01.hpc.unipr.it 
1, 440000,  3.1415926536, 4.4186876380e-13, 0.00603,  ui01.hpc.unipr.it 
2, 440000,  3.1415926548, 1.1801524202e-09, 0.00739,  ui01.hpc.unipr.it 
1, 450000,  3.1415926536, 4.0101255649e-13, 0.00722,  ui01.hpc.unipr.it 
2, 450000,  3.1415926547, 1.1410263845e-09, 0.00789,  ui01.hpc.unipr.it 
1, 460000,  3.1415926536, 4.1078251911e-13, 0.00641,  ui01.hpc.unipr.it 
2, 460000,  3.1415926547, 1.1041034753e-09, 0.00773,  ui01.hpc.unipr.it 
1, 470000,  3.1415926536, 2.9709568139e-13, 0.00636,  ui01.hpc.unipr.it 
2, 470000,  3.1415926547, 1.0690444086e-09, 0.00858,  ui01.hpc.unipr.it 
1, 480000,  3.1415926536, 3.8991032625e-13, 0.00647,  ui01.hpc.unipr.it 
2, 480000,  3.1415926546, 1.0357545932e-09, 0.00812,  ui01.hpc.unipr.it 
1, 490000,  3.1415926536, 2.9798385981e-13, 0.00655,  ui01.hpc.unipr.it 
2, 490000,  3.1415926546, 1.0042509047e-09, 0.00819,  ui01.hpc.unipr.it 
1, 500000,  3.1415926536, 3.1352698215e-13, 0.00679,  ui01.hpc.unipr.it 
2, 500000,  3.1415926546, 9.7429397883e-10, 0.00821,  ui01.hpc.unipr.it 
1, 510000,  3.1415926536, 4.0456527017e-13, 0.00803,  ui01.hpc.unipr.it 
2, 510000,  3.1415926545, 9.4575725029e-10, 0.00867,  ui01.hpc.unipr.it 
1, 520000,  3.1415926536, 3.4994229736e-13, 0.00693,  ui01.hpc.unipr.it 
2, 520000,  3.1415926545, 9.1863983087e-10, 0.00861,  ui01.hpc.unipr.it 
1, 530000,  3.1415926536, 3.2551739082e-13, 0.00704,  ui01.hpc.unipr.it 
2, 530000,  3.1415926545, 8.9274543313e-10, 0.00875,  ui01.hpc.unipr.it 
1, 540000,  3.1415926536, 2.8510527272e-13, 0.00719,  ui01.hpc.unipr.it 
2, 540000,  3.1415926545, 8.6784890385e-10, 0.00886,  ui01.hpc.unipr.it 
1, 550000,  3.1415926536, 1.9895196601e-13, 0.00731,  ui01.hpc.unipr.it 
2, 550000,  3.1415926544, 8.4435569647e-10, 0.00923,  ui01.hpc.unipr.it 
1, 560000,  3.1415926536, 2.5446311724e-13, 0.00764,  ui01.hpc.unipr.it 
2, 560000,  3.1415926544, 8.2197315621e-10, 0.00924,  ui01.hpc.unipr.it 
1, 570000,  3.1415926536, 2.0428103653e-13, 0.00757,  ui01.hpc.unipr.it 
2, 570000,  3.1415926544, 8.0043482953e-10, 0.01000,  ui01.hpc.unipr.it 
1, 580000,  3.1415926536, 3.1841196346e-13, 0.00773,  ui01.hpc.unipr.it 
2, 580000,  3.1415926544, 7.7973227874e-10, 0.00968,  ui01.hpc.unipr.it 
1, 590000,  3.1415926536, 2.9576341376e-13, 0.00784,  ui01.hpc.unipr.it 
2, 590000,  3.1415926543, 7.6003114913e-10, 0.00987,  ui01.hpc.unipr.it 
1, 600000,  3.1415926536, 2.1493917757e-13, 0.00812,  ui01.hpc.unipr.it 
2, 600000,  3.1415926543, 7.4114492321e-10, 0.00989,  ui01.hpc.unipr.it 
1, 610000,  3.1415926536, 2.2915003228e-13, 0.00843,  ui01.hpc.unipr.it 
2, 610000,  3.1415926543, 7.2299632947e-10, 0.01038,  ui01.hpc.unipr.it 
1, 620000,  3.1415926536, 2.1405099915e-13, 0.00849,  ui01.hpc.unipr.it 
2, 620000,  3.1415926543, 7.0563022092e-10, 0.01058,  ui01.hpc.unipr.it 
1, 630000,  3.1415926536, 2.3314683517e-13, 0.00848,  ui01.hpc.unipr.it 
2, 630000,  3.1415926543, 6.8883077020e-10, 0.01036,  ui01.hpc.unipr.it 
1, 640000,  3.1415926536, 1.5232259898e-13, 0.00849,  ui01.hpc.unipr.it 
2, 640000,  3.1415926543, 6.7270944371e-10, 0.01056,  ui01.hpc.unipr.it 
1, 650000,  3.1415926536, 1.9939605522e-13, 0.00904,  ui01.hpc.unipr.it 
2, 650000,  3.1415926542, 6.5725691556e-10, 0.01078,  ui01.hpc.unipr.it 
1, 660000,  3.1415926536, 3.5305092183e-13, 0.00879,  ui01.hpc.unipr.it 
2, 660000,  3.1415926542, 6.4231509000e-10, 0.01103,  ui01.hpc.unipr.it 
1, 670000,  3.1415926536, 2.6600943670e-13, 0.00894,  ui01.hpc.unipr.it 
2, 670000,  3.1415926542, 6.2810334711e-10, 0.01097,  ui01.hpc.unipr.it 
1, 680000,  3.1415926536, 5.7731597281e-14, 0.00938,  ui01.hpc.unipr.it 
2, 680000,  3.1415926542, 6.1429750176e-10, 0.01131,  ui01.hpc.unipr.it 
1, 690000,  3.1415926536, 2.4558133305e-13, 0.00939,  ui01.hpc.unipr.it 
2, 690000,  3.1415926542, 6.0101257304e-10, 0.01126,  ui01.hpc.unipr.it 
1, 700000,  3.1415926536, 7.8159700934e-14, 0.00925,  ui01.hpc.unipr.it 
2, 700000,  3.1415926542, 5.8801274960e-10, 0.01144,  ui01.hpc.unipr.it 
1, 710000,  3.1415926536, 2.0161650127e-13, 0.00940,  ui01.hpc.unipr.it 
2, 710000,  3.1415926542, 5.7562843381e-10, 0.01160,  ui01.hpc.unipr.it 
1, 720000,  3.1415926536, 1.7585932710e-13, 0.00980,  ui01.hpc.unipr.it 
2, 720000,  3.1415926542, 5.6382765123e-10, 0.01242,  ui01.hpc.unipr.it 
1, 730000,  3.1415926536, 1.9628743075e-13, 0.00965,  ui01.hpc.unipr.it 
2, 730000,  3.1415926541, 5.5214011141e-10, 0.01197,  ui01.hpc.unipr.it 
1, 740000,  3.1415926536, 2.6645352591e-15, 0.00988,  ui01.hpc.unipr.it 
2, 740000,  3.1415926541, 5.4118531878e-10, 0.01211,  ui01.hpc.unipr.it 
1, 750000,  3.1415926536, 1.6164847239e-13, 0.00996,  ui01.hpc.unipr.it 
2, 750000,  3.1415926541, 5.3026072422e-10, 0.01225,  ui01.hpc.unipr.it 
1, 760000,  3.1415926536, 2.5623947408e-13, 0.01018,  ui01.hpc.unipr.it 
2, 760000,  3.1415926541, 5.1981663418e-10, 0.01258,  ui01.hpc.unipr.it 
1, 770000,  3.1415926536, 1.9095836024e-14, 0.01019,  ui01.hpc.unipr.it 
2, 770000,  3.1415926541, 5.0979709343e-10, 0.01258,  ui01.hpc.unipr.it 
1, 780000,  3.1415926536, 1.5543122345e-13, 0.01075,  ui01.hpc.unipr.it 
2, 780000,  3.1415926541, 5.0000004137e-10, 0.01272,  ui01.hpc.unipr.it 
1, 790000,  3.1415926536, 1.5365486661e-13, 0.01059,  ui01.hpc.unipr.it 
2, 790000,  3.1415926541, 4.9048676232e-10, 0.01288,  ui01.hpc.unipr.it 
1, 800000,  3.1415926536, 1.0658141036e-13, 0.01058,  ui01.hpc.unipr.it 
2, 800000,  3.1415926541, 4.8143311560e-10, 0.01319,  ui01.hpc.unipr.it 
1, 810000,  3.1415926536, 1.1457501614e-13, 0.01080,  ui01.hpc.unipr.it 
2, 810000,  3.1415926541, 4.7243320367e-10, 0.01331,  ui01.hpc.unipr.it 
1, 820000,  3.1415926536, 6.0840221749e-14, 0.01090,  ui01.hpc.unipr.it 
2, 820000,  3.1415926541, 4.6386761099e-10, 0.01351,  ui01.hpc.unipr.it 
1, 830000,  3.1415926536, 1.2656542481e-13, 0.01101,  ui01.hpc.unipr.it 
2, 830000,  3.1415926540, 4.5548986805e-10, 0.01365,  ui01.hpc.unipr.it 
1, 840000,  3.1415926536, 1.0746958878e-13, 0.01141,  ui01.hpc.unipr.it 
2, 840000,  3.1415926540, 4.4743764249e-10, 0.01371,  ui01.hpc.unipr.it 
1, 850000,  3.1415926536, 1.8696155735e-13, 0.01192,  ui01.hpc.unipr.it 
2, 850000,  3.1415926540, 4.3946535300e-10, 0.01388,  ui01.hpc.unipr.it 
1, 860000,  3.1415926536, 1.9095836024e-14, 0.01135,  ui01.hpc.unipr.it 
2, 860000,  3.1415926540, 4.3182923903e-10, 0.01436,  ui01.hpc.unipr.it 
1, 870000,  3.1415926536, 2.0872192863e-14, 0.01150,  ui01.hpc.unipr.it 
2, 870000,  3.1415926540, 4.2447290127e-10, 0.01418,  ui01.hpc.unipr.it 
1, 880000,  3.1415926536, 2.0561330416e-13, 0.01165,  ui01.hpc.unipr.it 
2, 880000,  3.1415926540, 4.1728842604e-10, 0.01454,  ui01.hpc.unipr.it 
1, 890000,  3.1415926536, 1.0969003483e-13, 0.01200,  ui01.hpc.unipr.it 
2, 890000,  3.1415926540, 4.1035219667e-10, 0.01474,  ui01.hpc.unipr.it 
1, 900000,  3.1415926536, 2.0872192863e-13, 0.01189,  ui01.hpc.unipr.it 
2, 900000,  3.1415926540, 4.0338399288e-10, 0.01483,  ui01.hpc.unipr.it 
