#mpiTasks=1 mpiRank=0, n=100000000, range=100000000, StartLocal=0, HostLocal=wn23
#ID 0 terminated - piLocal = 3.1415926936  0.115300
#Funct  Inter  pi    error   time numtasks  hostname 
1 100000000  3.1415926936 4.0000423418e-08 0.1153  1 # wn23 
#mpiTasks=2 mpiRank=0, n=100000000, range=50000000, StartLocal=0, HostLocal=wn23
#mpiTasks=2 mpiRank=1, n=100000000, range=50000000, StartLocal=50000000, HostLocal=wn23
#ID 1 terminated - piLocal = 1.2870022496  0.057970
#ID 0 terminated - piLocal = 1.8545904760  0.063649
#Funct  Inter  pi    error   time numtasks  hostname 
1 100000000  3.1415927256 7.2000100104e-08 0.0636  2 # wn23 
#mpiTasks=4 mpiRank=1, n=100000000, range=25000000, StartLocal=25000000, HostLocal=wn23
#mpiTasks=4 mpiRank=2, n=100000000, range=25000000, StartLocal=50000000, HostLocal=wn23
#mpiTasks=4 mpiRank=0, n=100000000, range=25000000, StartLocal=0, HostLocal=wn23
#mpiTasks=4 mpiRank=3, n=100000000, range=25000000, StartLocal=75000000, HostLocal=wn23
#ID 2 terminated - piLocal = 0.7194140312  0.030497
#ID 3 terminated - piLocal = 0.5675882440  0.030494
#ID 0 terminated - piLocal = 0.9799146925  0.032075
#ID 1 terminated - piLocal = 0.8746758211  0.033513
#Funct  Inter  pi    error   time numtasks  hostname 
1 100000000  3.1415927888 1.3524706999e-07 0.0321  4 # wn23 
#mpiTasks=8 mpiRank=0, n=100000000, range=12500000, StartLocal=0, HostLocal=wn23
#mpiTasks=8 mpiRank=1, n=100000000, range=12500000, StartLocal=12500000, HostLocal=wn23
#mpiTasks=8 mpiRank=2, n=100000000, range=12500000, StartLocal=25000000, HostLocal=wn23
#mpiTasks=8 mpiRank=4, n=100000000, range=12500000, StartLocal=50000000, HostLocal=wn23
#mpiTasks=8 mpiRank=5, n=100000000, range=12500000, StartLocal=62500000, HostLocal=wn23
#mpiTasks=8 mpiRank=6, n=100000000, range=12500000, StartLocal=75000000, HostLocal=wn23
#mpiTasks=8 mpiRank=3, n=100000000, range=12500000, StartLocal=37500000, HostLocal=wn23
#mpiTasks=8 mpiRank=7, n=100000000, range=12500000, StartLocal=87500000, HostLocal=wn23
#ID 5 terminated - piLocal = 0.3396072026  0.015603
#ID 6 terminated - piLocal = 0.3013155889  0.015605
#ID 3 terminated - piLocal = 0.4195077900  0.015599
#ID 7 terminated - piLocal = 0.2662726778  0.015635
#ID 1 terminated - piLocal = 0.4824947137  0.016829
#ID 0 terminated - piLocal = 0.4974200182  0.016830
#ID 2 terminated - piLocal = 0.4551680662  0.017076
#ID 4 terminated - piLocal = 0.3798068574  0.017073
#Funct  Inter  pi    error   time numtasks  hostname 
1 100000000  3.1415929147 2.6111910367e-07 0.0168  8 # wn23 
#mpiTasks=16 mpiRank=0, n=100000000, range=6250000, StartLocal=0, HostLocal=wn23
#mpiTasks=16 mpiRank=3, n=100000000, range=6250000, StartLocal=18750000, HostLocal=wn23
#mpiTasks=16 mpiRank=2, n=100000000, range=6250000, StartLocal=12500000, HostLocal=wn23
#mpiTasks=16 mpiRank=1, n=100000000, range=6250000, StartLocal=6250000, HostLocal=wn23
#mpiTasks=16 mpiRank=4, n=100000000, range=6250000, StartLocal=25000000, HostLocal=wn23
#mpiTasks=16 mpiRank=9, n=100000000, range=6250000, StartLocal=56250000, HostLocal=wn23
#mpiTasks=16 mpiRank=12, n=100000000, range=6250000, StartLocal=75000000, HostLocal=wn23
#mpiTasks=16 mpiRank=13, n=100000000, range=6250000, StartLocal=81250000, HostLocal=wn23
#mpiTasks=16 mpiRank=5, n=100000000, range=6250000, StartLocal=31250000, HostLocal=wn23
#mpiTasks=16 mpiRank=6, n=100000000, range=6250000, StartLocal=37500000, HostLocal=wn23
#mpiTasks=16 mpiRank=8, n=100000000, range=6250000, StartLocal=50000000, HostLocal=wn23
#mpiTasks=16 mpiRank=10, n=100000000, range=6250000, StartLocal=62500000, HostLocal=wn23
#mpiTasks=16 mpiRank=14, n=100000000, range=6250000, StartLocal=87500000, HostLocal=wn23
#mpiTasks=16 mpiRank=7, n=100000000, range=6250000, StartLocal=43750000, HostLocal=wn23
#mpiTasks=16 mpiRank=11, n=100000000, range=6250000, StartLocal=68750000, HostLocal=wn23
#mpiTasks=16 mpiRank=15, n=100000000, range=6250000, StartLocal=93750000, HostLocal=wn23
#ID 3 terminated - piLocal = 0.2385228912  0.008574
#ID 0 terminated - piLocal = 0.2496752800  0.008593
#ID 2 terminated - piLocal = 0.2439718612  0.008580
#ID 1 terminated - piLocal = 0.2477447780  0.008657
#ID 9 terminated - piLocal = 0.1848394505  0.009930
#ID 4 terminated - piLocal = 0.2316248586  0.009941
#ID 13 terminated - piLocal = 0.1460538031  0.009946
#ID 12 terminated - piLocal = 0.1552618099  0.010057
#ID 5 terminated - piLocal = 0.2235432440  0.009939
#ID 6 terminated - piLocal = 0.2145591204  0.009929
#ID 8 terminated - piLocal = 0.1949674372  0.009931
#ID 10 terminated - piLocal = 0.1747521519  0.009936
#ID 14 terminated - piLocal = 0.1372851480  0.009930
#ID 7 terminated - piLocal = 0.2049487032  0.009937
#ID 11 terminated - piLocal = 0.1648550778  0.009928
#ID 15 terminated - piLocal = 0.1289875510  0.009925
#Funct  Inter  pi    error   time numtasks  hostname 
1 100000000  3.1415931661 5.1255066102e-07 0.0086  16 # wn23 
#mpiTasks=32 mpiRank=5, n=100000000, range=3125000, StartLocal=15625000, HostLocal=wn23
#mpiTasks=32 mpiRank=7, n=100000000, range=3125000, StartLocal=21875000, HostLocal=wn23
#mpiTasks=32 mpiRank=1, n=100000000, range=3125000, StartLocal=3125000, HostLocal=wn23
#mpiTasks=32 mpiRank=2, n=100000000, range=3125000, StartLocal=6250000, HostLocal=wn23
#mpiTasks=32 mpiRank=4, n=100000000, range=3125000, StartLocal=12500000, HostLocal=wn23
#mpiTasks=32 mpiRank=0, n=100000000, range=3125000, StartLocal=0, HostLocal=wn23
#mpiTasks=32 mpiRank=3, n=100000000, range=3125000, StartLocal=9375000, HostLocal=wn23
#mpiTasks=32 mpiRank=6, n=100000000, range=3125000, StartLocal=18750000, HostLocal=wn23
#mpiTasks=32 mpiRank=10, n=100000000, range=3125000, StartLocal=31250000, HostLocal=wn23
#mpiTasks=32 mpiRank=28, n=100000000, range=3125000, StartLocal=87500000, HostLocal=wn23
#mpiTasks=32 mpiRank=29, n=100000000, range=3125000, StartLocal=90625000, HostLocal=wn23
#mpiTasks=32 mpiRank=11, n=100000000, range=3125000, StartLocal=34375000, HostLocal=wn23
#mpiTasks=32 mpiRank=19, n=100000000, range=3125000, StartLocal=59375000, HostLocal=wn23
#mpiTasks=32 mpiRank=20, n=100000000, range=3125000, StartLocal=62500000, HostLocal=wn23
#mpiTasks=32 mpiRank=21, n=100000000, range=3125000, StartLocal=65625000, HostLocal=wn23
#mpiTasks=32 mpiRank=26, n=100000000, range=3125000, StartLocal=81250000, HostLocal=wn23
#mpiTasks=32 mpiRank=30, n=100000000, range=3125000, StartLocal=93750000, HostLocal=wn23
#mpiTasks=32 mpiRank=8, n=100000000, range=3125000, StartLocal=25000000, HostLocal=wn23
#mpiTasks=32 mpiRank=13, n=100000000, range=3125000, StartLocal=40625000, HostLocal=wn23
#mpiTasks=32 mpiRank=24, n=100000000, range=3125000, StartLocal=75000000, HostLocal=wn23
#mpiTasks=32 mpiRank=27, n=100000000, range=3125000, StartLocal=84375000, HostLocal=wn23
#mpiTasks=32 mpiRank=17, n=100000000, range=3125000, StartLocal=53125000, HostLocal=wn23
#mpiTasks=32 mpiRank=18, n=100000000, range=3125000, StartLocal=56250000, HostLocal=wn23
#mpiTasks=32 mpiRank=25, n=100000000, range=3125000, StartLocal=78125000, HostLocal=wn23
#mpiTasks=32 mpiRank=9, n=100000000, range=3125000, StartLocal=28125000, HostLocal=wn23
#mpiTasks=32 mpiRank=12, n=100000000, range=3125000, StartLocal=37500000, HostLocal=wn23
#mpiTasks=32 mpiRank=16, n=100000000, range=3125000, StartLocal=50000000, HostLocal=wn23
#mpiTasks=32 mpiRank=23, n=100000000, range=3125000, StartLocal=71875000, HostLocal=wn23
#mpiTasks=32 mpiRank=14, n=100000000, range=3125000, StartLocal=43750000, HostLocal=wn23
#mpiTasks=32 mpiRank=15, n=100000000, range=3125000, StartLocal=46875000, HostLocal=wn23
#mpiTasks=32 mpiRank=31, n=100000000, range=3125000, StartLocal=96875000, HostLocal=wn23
