function,iter,pi,error,t_np,t_p,hostname
1, 1000000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.01480, wn21 
1, 1100000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.02108, wn21 
1, 1200000,  3.1415926536, 3.1415926536e+00, 0.00003,  0.01886, wn21 
1, 1300000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.01940, wn21 
1, 1400000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.02045, wn21 
1, 1500000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.02095, wn21 
1, 1600000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.02389, wn21 
1, 1700000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.02606, wn21 
1, 1800000,  3.1415926536, 3.1415926536e+00, 0.00003,  0.03025, wn21 
1, 1900000,  3.1415926536, 3.1415926536e+00, 0.00003,  0.03094, wn21 
1, 2000000,  3.1415926536, 3.1415926536e+00, 0.00003,  0.03142, wn21 
1, 2100000,  3.1415926536, 3.1415926536e+00, 0.00003,  0.03357, wn21 
1, 2200000,  3.1415926536, 3.1415926536e+00, 0.00003,  0.03531, wn21 
1, 2300000,  3.1415926536, 3.1415926536e+00, 0.00003,  0.03641, wn21 
1, 2400000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.03771, wn21 
1, 2500000,  3.1415926536, 3.1415926536e+00, 0.00005,  0.03867, wn21 
1, 2600000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.04104, wn21 
1, 2700000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.04265, wn21 
1, 2800000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.04415, wn21 
1, 2900000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.04545, wn21 
1, 3000000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.04584, wn21 
1, 3100000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.04845, wn21 
1, 3200000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.05038, wn21 
1, 3300000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.05024, wn21 
1, 3400000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.05045, wn21 
1, 3500000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.05317, wn21 
1, 3600000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.05584, wn21 
1, 3700000,  3.1415926536, 3.1415926536e+00, 0.00005,  0.05583, wn21 
1, 3800000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.05674, wn21 
1, 3900000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.05771, wn21 
1, 4000000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.05856, wn21 
1, 4100000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.05946, wn21 
1, 4200000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.06086, wn21 
1, 4300000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.06387, wn21 
1, 4400000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.06442, wn21 
1, 4500000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.06576, wn21 
1, 4600000,  3.1415926536, 3.1415926536e+00, 0.00006,  0.06619, wn21 
1, 4700000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.06913, wn21 
1, 4800000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.06999, wn21 
1, 4900000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.07101, wn21 
1, 5000000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.07200, wn21 
1, 5100000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.07379, wn21 
1, 5200000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.07438, wn21 
1, 5300000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.07725, wn21 
1, 5400000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.07823, wn21 
1, 5500000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.07929, wn21 
1, 5600000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.08087, wn21 
1, 5700000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.08264, wn21 
1, 5800000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.08223, wn21 
1, 5900000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.08305, wn21 
1, 6000000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.08652, wn21 
1, 6100000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.08723, wn21 
1, 6200000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.08796, wn21 
1, 6300000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.08925, wn21 
1, 6400000,  3.1415926536, 3.1415926536e+00, 0.00005,  0.09022, wn21 
1, 6500000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.09185, wn21 
1, 6600000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.09389, wn21 
1, 6700000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.09299, wn21 
1, 6800000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.09685, wn21 
1, 6900000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.09766, wn21 
1, 7000000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.09841, wn21 
1, 7100000,  3.1415926536, 3.1415926536e+00, 0.00006,  0.09894, wn21 
1, 7200000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.10030, wn21 
1, 7300000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.10251, wn21 
1, 7400000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.10381, wn21 
1, 7500000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.10221, wn21 
1, 7600000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.10583, wn21 
1, 7700000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.10524, wn21 
1, 7800000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.10998, wn21 
1, 7900000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.11062, wn21 
1, 8000000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.11058, wn21 
1, 8100000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.11167, wn21 
1, 8200000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.11443, wn21 
1, 8300000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.11534, wn21 
1, 8400000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.11586, wn21 
1, 8500000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.11790, wn21 
1, 8600000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.11824, wn21 
1, 8700000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.12022, wn21 
1, 8800000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.11937, wn21 
1, 8900000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.12130, wn21 
1, 9000000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.12410, wn21 
